id,gender,hours,height,weight,clevel,sportg,pic,age,teamsind,student
87,male,35,180,110,University,rugby,1,19,Team,y
88,male,35,177,106.4,University,rugby,0,19,Team,y
89,male,35,175,95,University,rugby,0,18,Team,y
90,male,35,166,88,University,rugby,0,18,Team,y
91,male,35,192,124.6,University,rugby,0,20,Team,y
92,male,35,199,144,University,rugby,1,18,Team,y
93,male,35,187.5,107.6,University,rugby,1,18,Team,y
94,male,24,188,98.6,University,rugby,0,20,Team,y
95,male,24,187,108,University,rugby,1,19,Team,y
96,male,24,167,95,University,rugby,1,19,Team,y
97,male,24,176,96,University,rugby,0,19,Team,y
98,male,30,183,100.6,University,rugby,0,21,Team,y
99,male,24,186,102,University,rugby,0,19,Team,y
100,male,25,170.5,83,University,rugby,1,19,Team,y
101,male,24,165,82,University,rugby,0,20,Team,y
102,male,24,170,76.6,University,rugby,1,18,Team,y
103,male,24,172,78,University,rugby,1,18,Team,y
104,male,25,184,106,University,rugby,1,21,Team,y
105,male,25,184,118,University,rugby,1,19,Team,y
106,male,24,192,104,University,rugby,0,21,Team,y
107,male,24,199,101,University,rugby,0,19,Team,y
108,male,10,176,85,University,rugby,0,20,Team,y
109,male,10,172,83,University,rugby,0,20,Team,y
110,male,12,171,83,University,rugby,0,21,Team,y
