id,time,FFFS,BIS,BAS,GDP,I,RI,RR
146,1,23,45,73,22,17,11,23
146,2,25,40,69,21,18,10,20
146,3,20,42,70,19,18,9,24
147,1,15,36,70,23,16,13,18
147,2,13,30,68,23,17,12,16
147,3,13,44,74,25,19,11,19
147,4,15,40,79,26,17,13,23
148,1,17,33,61,17,18,7,19
148,2,26,35,73,21,22,7,23
148,3,29,39,66,17,23,7,19
148,4,28,46,62,18,17,6,21
149,1,25,37,64,24,16,8,16
149,2,20,35,60,20,15,9,16
149,3,20,37,66,25,16,9,16
150,1,22,55,77,28,12,10,27
150,2,20,45,60,26,8,5,21
150,3,19,56,74,25,15,8,26
150,4,17,60,66,23,10,6,27
151,1,20,45,81,22,19,15,25
151,2,23,45,77,23,16,14,24
152,1,24,53,62,25,10,9,18
152,3,21,48,61,23,12,6,20
152,4,19,54,67,26,12,9,20
153,1,20,21,76,24,22,10,20
154,1,13,36,57,14,17,8,18
155,1,28,37,85,24,24,10,27
155,2,22,25,68,18,21,9,20
155,3,24,22,85,24,24,12,25
155,4,24,31,85,24,22,12,27
156,1,22,27,71,14,23,9,25
156,2,22,31,56,13,19,7,17
156,3,23,31,70,13,21,11,25
156,4,22,29,64,15,18,8,23
157,1,18,33,83,21,24,14,24
157,2,15,28,80,20,24,11,25
157,3,18,26,81,21,23,13,24
157,4,19,26,84,23,23,13,25
158,1,23,44,69,21,19,10,19
158,2,29,60,90,25,24,12,29
158,3,15,37,52,13,13,10,16
159,1,11,25,51,15,12,9,15
159,2,14,32,58,17,14,10,17
159,4,13,34,63,19,14,10,20
160,1,13,28,58,17,16,7,18
160,2,11,31,56,17,14,8,17
160,3,13,29,65,18,15,11,21
161,1,20,45,82,25,18,12,27
161,2,21,45,77,21,18,14,24
161,3,20,37,68,20,17,11,20
161,4,18,48,71,19,18,12,22
162,1,16,44,69,27,11,10,21
162,2,14,35,60,22,11,10,17
162,3,14,39,75,26,16,12,21
162,4,14,39,67,22,13,11,21
163,1,14,25,78,23,20,12,23
163,2,13,31,71,21,20,11,19
163,4,16,29,74,21,18,13,22
164,1,27,53,79,25,18,13,23
164,2,29,60,80,26,21,12,21
164,3,30,48,74,25,20,10,19
164,4,27,45,65,24,16,9,16
165,1,14,37,55,18,14,8,15
165,2,19,46,58,16,19,8,15
165,3,14,47,54,14,15,8,17
166,1,14,48,80,23,21,10,26
166,2,13,57,79,22,22,9,26
167,1,18,29,64,22,15,8,19
167,2,17,29,67,23,15,8,21
167,3,19,30,64,20,16,10,18
168,1,15,30,65,27,11,8,19
168,2,16,26,59,25,9,5,20
169,1,11,19,55,20,14,8,13
169,2,9,18,51,19,12,8,12
169,3,9,18,47,17,12,7,11
169,4,8,17,51,19,11,8,13
170,1,18,50,72,21,21,9,21
170,2,15,47,75,25,18,11,21
171,1,18,45,61,20,15,10,16
171,2,26,55,55,16,14,7,18
172,1,16,58,62,24,12,10,16
172,2,14,54,69,25,16,12,16
172,4,21,49,77,25,18,14,20
